channelID,channel_name,channel_country,ad_percentage
UCX3CVO5uiuB9U0aOe20YT1A,Юша Протанки,RU,5.56%
UCEVNTzTFSGkZGTjVE9ipXpg,AcademeG DailyStream,RU,5.55%
UCpTuLPXfIOcsPbvb2SIwD8w,ИМПРОКОМ,RU,5.52%
UCRCWJCFoZUvkkWzIqzfBy6g,Nova Lectio,IT,5.51%
UCwO-UgquohXwoe7f0e6lMnw,Invicta,US,5.51%
UC9SoogoWnlKeUEfvBS4rzrw,Miłośnicy czterech kółek -zrób to sam,PL,5.48%
UCPJHQ5_DLtxZ1gzBvZE99_g,AnthonyPadilla,US,5.48%
UCASM0cgfkJxQ1ICmRilfHLw,Patrick Boyle,US,5.45%
UCJHA_jMfCvEnv-3kRjTCQXw,Babish Culinary Universe,US,5.44%
UCLXl1V6n82Dyg1VhVgSL0nw,Aviões e Músicas,BR,5.43%
UCJSDUfj-LAdQ22iJOACERPg,Мастерская Pit_Stop,RU,5.41%
UClMJgjg2z_IrRm6J9KrhcuQ,Goodnight Moon,,5.39%
UCgVl0UGf1QDXZ5ydEy2qAKw,СЕРЕГА ВСЕЯДНЫЙ,RU,5.36%
UCuSBNuZGdr9OKQSMtpPMEqg,Diletant,RU,5.36%
UCXFxgPppcehs2LoiKhkakQg,SuperCrastan,RU,5.34%
UCkSjy-IOEq-eMtarZl2uH1Q,Mamaefalei,BR,5.32%
UCOxQWb-OuyCSZadzWqrKTCQ,БУЛДЖАТь,RU,5.31%
UCJQQVLyM6wtPleV4wFBK06g,VisualPolitik,ES,5.28%
UCoAEj6XaIzqxQ5C5OUIGcZA,Chuck Review,KZ,5.26%
UCNUu9E0ZZbf53NVkPjTk7sw,Mista GG,US,5.26%
UCvQXaJTjA3jRucTKN4CGiwg,Осторожно: Собчак,RU,5.25%
UC5UYMeKfZbFYnLHzoTJB1xA,Schaffrillas Productions,US,5.25%
UC6DxE5GWRxZKwNdcOzV5hWw,Доктор Грег,RU,5.21%
UCHRXXDaRmrD-l5Q6pSyfTCg,Maras Rofls,BY,5.21%
UCw_09chvmXy_zZJz2Tj2-mg,Recrent,RU,5.20%
UCEf5U1dB5a2e2S-XUlnhxSA,Diolinux,BR,5.19%
UCWcp1Mwm7_bJ-mVoZb8TdkQ,TuberViejuner,ES,5.17%
UCcnmNzv0yEEYPM6Oa86unhQ,Die Autodoktoren - offizieller Kanal,DE,5.17%
UC_gKMJFeCf1bKzZr_fICkig,TheDRZJ,GE,5.16%
UCivi_f1nniBzEOfKhRoN12Q,Grind Hard Plumbing Co,US,5.15%
UCIoQzf1hBYEFuYW5C8eICag,SpecterChannel,RU,5.15%
UCBBU7zUOhR_qShfMV26UUCA,Nux Taku,US,5.15%
UCrfKGpvbEQXcbe68dzXgJuA,Forgotten Weapons,US,5.13%
UCu-__sHtOJpcjKoeJ60LoSA,ЧЕРНЫЙ КАБИНЕТ,IL,5.12%
UC9x0AN7BWHpCDHSm9NiJFJQ,NetworkChuck,US,5.08%
UCEBfCZwWKn4JzCKojL75B-Q,Космос Просто,ME,5.07%
UCtDUJoWBgUaYUeHtMA0LNGg,Murzofix,,5.06%
UC6pnRoVljXKpo5bgkVyQMJg,Максим Горшенин,RU,5.06%
UCd72TnBJrgjj631Ajk2Nf7w,Видео от SoLiD'a,US,5.06%
UCRP4EhX1Op-jL7D87PB3qhQ,808,RU,5.03%
UC_R99mJdkzksbgeedOyLbKw,Ici Japon Corp.,JP,4.99%
UCyjf5CxCNEc9ALYlalBiKDQ,MrGEO,RU,4.94%
UCYGjxo5ifuhnmvhPvCc3DJQ,Wankil Studio - Laink et Terracid,FR,4.92%
UCrd7UM5OBtB0n1zl41qwCUw,EugeneSagaz,RU,4.91%
UCBXPTYli_MdWNaMt3fsvl4w,Ryan Sickler,US,4.91%
UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,,4.90%
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,GB,4.89%
UCCYX4s1DCn51Hpf1peHS30Q,Cinema Therapy,US,4.88%
UCrq3JYirgV-BLluzTF6X_7A,STRANGE ÆONS,CA,4.87%
UC3cpN6gcJQqcCM6mxRUo_dA,Wendigoon,,4.87%
UCXGgrKt94gR6lmN4aN3mYTg,Austin Evans,US,4.86%
UCdb_kR-eluM3kScsoYRar5Q,Виктор Блуд,RU,4.85%
UCZ7AeeVbyslLM_8-nVy2B8Q,Skill Up,AU,4.83%
UC4woSp8ITBoYDmjkukhEhxg,The Tim Dillon Show,US,4.82%
UC9XJvt8OT-9_8QHDBdqocaw,Жекич Дубровский,RU,4.81%
UCzLoa-ev_ELyTxzYQeA5k6w,FourStarBento,US,4.81%
UC4gD0czpXVv_LpADTSU624g,Clownfish TV,US,4.81%
UC5tigjL4SYA_nWP-E8-eiBw,Trash Tuesday,US,4.80%
UCvcRA2Hva1lULVf4GCouH8w,Dawid Does Tech Stuff,CA,4.80%
UCN04AE2yY26Rw-912kgQftA,Самый сахар,KZ,4.79%
UC0RBTQIYLEQbcahZWkmzeTQ,Garand Thumb,US,4.79%
UC4Nux1jbudhSm3OTnJ4gocg,Bulkin Drive,RU,4.78%
UC6sac4Q3AuQUGoUpnzd10bA,Eure Videos Fahrnünftig,DE,4.78%
UCqfANd8RDXTcQddXMwwgUmA,Louis-San,FR,4.77%
UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,US,4.76%
UCzJTDiINSmjKQtGgPCwqItg,Lock Gamer Hardware,BR,4.75%
UCwipTluVS2mjuhPtx2WU7eQ,Дима Масленников  ,US,4.73%
UCfNrBzcNw_7ymcDi1CK_C8w,Aleksey Durnev,UA,4.72%
UCwrNkeWwahveYd-osLhATMQ,HitOk,RU,4.71%
UClu2e7S8atp6tG2galK9hgg,BdoubleO100,US,4.70%
UCvZe6ZCbF9xgbbbdkiodPKQ,Baumgartner Restoration,US,4.69%
UCp3yVOm6A55nx65STpm3tXQ,Craft Computing,US,4.69%
UC32velEjgFxI08yXZOD22dg,Zёбра,KZ,4.69%
UCtr7L6AnC8yFk72_tdPWukA,Ваганыч,,4.67%
UC4sEmXUuWIFlxRIFBRV6VXQ,The History Guy: History Deserves to Be Remembered,US,4.66%
UCLKB9g1374gcxezJINOLtag,РАЙЗ,RU,4.65%
UC2q4mHrzoR48mwSuAYtVPtQ,Александр Панчин,RU,4.64%
UC7QBeubzVIOqFjUjd_gNEBQ,Danielle Kirsty,GB,4.63%
UC0lT9K8Wfuc1KPqm6YjRf1A,AcademeG,RU,4.62%
UCkbSaWqttPHTS00K0fjniTQ,Все Работы Хороши,,4.61%
UCFl1mGlf5j0Qno1Kxnyv6FA,Skill Capped Challenger LoL Guides,US,4.60%
UC6hR6KtxdA_6H_cE1HQlIbg,Stéphane Edouard,FR,4.57%
UCtMVHI3AJD4Qk4hcbZnI9ZQ,SomeOrdinaryGamers,CA,4.56%
UCq3hT5JPPKy87JGbDls_5BQ,Heavy Spoilers,US,4.56%
UCO01ytfzgXYy4glnPJm4PPQ,Matt Walsh,US,4.55%
UCYF1kiTFCcYPqGTqXKt3JJg,Papa Meat,US,4.54%
UCXIYLgIp6DYZHjmUUUXErmg,Adam LZ,US,4.54%
UC2IYWWifoIht9T47z1Z5lJw,Dead Meat,US,4.52%
UCdBK94H6oZT2Q7l0-b0xmMg,ShortCircuit,CA,4.51%
UCuDaxQeedz9-TuMOU1tJ_pg,JoinTheSystemm,GE,4.51%
UCrz4Io1bYWfW8cJW8cxlhoQ,ASATA “BORODA” channel,RU,4.50%
UCqdcfoz9hDXCXbJDaklkwjQ,Bricky,US,4.49%
UC7TkMpfCCRwhi8vbTCAOw-A,Quantum Games,RU,4.49%
UCwPzq5yQwczLmivBX8zq7Mw,The Люди,RU,4.49%
UCIOE_IzglfnHyaOYbvpJxjA,Nerd Explains,US,4.49%
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,US,4.48%
UChc-m3saf8K2oJHDSsnsj_A,Elvis The Alien,US,4.46%
UCNGbPFX8UOm7qk6kvnHKr0w,Andrew Santino,US,4.44%
UCRBpynZV0b7ww2XMCfC17qg,Bad Friends,US,4.44%
UCsE_m2z1NrvF2ImeNWh84mw,Active Self Protection,US,4.44%
UCWAIvx2yYLK_xTYD4F2mUNw,Живой Гвоздь,RU,4.43%
UCRQPJnq3IFviqmIxb9_5FaQ,Файб,RU,4.43%
UC3cJiUuZlpF-pkzqvSskTpg,Stand-Up Club #1,RU,4.41%
UC2hsvTzqdjsGOUnM-Ilai6Q,Combat Crew,RU,4.40%
UCYzkb8WCMF0av77kjC6DCXw,Покашеварим,RU,4.39%
UCrMU71nSWHAmpb1-3wEtW8g,Lena Kuka crew,RU,4.38%
UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,DE,4.38%
UCDK9qD5DAQML-pzrtA7A4oA,OfflineTV,US,4.37%
UCUPS_F0o4TrsRE9UxeKSTrg,Новак,RU,4.36%
UCfFkXO1Tfk6Je9O5h-dvLoA,Dizoff,RU,4.33%
UCR1HSvPGgweMlKoHRkSkwjw,notebook-31,RU,4.32%
UCJby9NAb3ek5gzqZ8SOl_3w,Camomo_10,AU,4.32%
UCeVpI1jEdMUfboWOtl_Bq6g,Iconoclaste,FR,4.32%
UC4RkUl120K4nct7dYrk19_A,KAROL MODZELEWSKI - kanał oficjalny,PL,4.31%
UCTTzMDoVCbaX6K1CwKsRJsQ,Good Times Bad Times Polska,PL,4.31%
UCsvsmFQ8eFRx5v6cdmuYBsg,Restart,US,4.31%
UCJw11lDaHLt0pKiqQ3JbNBA,JGeek,RU,4.29%
UCnfR9C-3Oxt7jl6Q-JNDd4g,Люди PRO,TH,4.29%
UC7p0GCM88wBsrlv5n5eeCHw,ШАСТУН,RU,4.29%
UC3M7l8ved_rYQ45AVzS0RGA,The Jimmy Dore Show,US,4.28%
UCI36d5Lz-hQFD9MAIM8YzZQ,Кино Огонь,RU,4.27%
UC9ctsJZ2aD1nCexfqj342NQ,Better Bachelor,US,4.26%
UCg4vDcovXPJTcTcYxQ9iCrw,wavywebsurf,US,4.26%
UCBs2Y3i14e1NWQxOGliatmg,Mother's Basement,,4.25%
UCj2QqbeCUZ82JMk492iGUQg,KINOKOS,KZ,4.25%
UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,US,4.23%
UCMFmrcGuFNu_59L0pHcR0OA,Now You Know,US,4.20%
UCNUzWfHUP_iXZ1GMHz8gBgw,ryukahr,US,4.20%
UCtBveJI6Ff3U2s12sOxa4wg,Steve-O's Wild Ride! - Podcast,,4.20%
UC101o-vQ2iOj9vr00JUlyKw,varlamov,NL,4.19%
UCWjdx0j_RcoCSBzvlrlvAqQ,Mobiltelefon.ru,RU,4.18%
UC1HvN9oAYMeD5ns3tHXTzig,Lovilosa,RU,4.17%
UCda3Vfc9RIx9vrahgVaAWBw,Трич Тв,BY,4.17%
UCR7uLtPuXsDpN8N6ocFQyeg,Konopskyy,PL,4.14%
UC1pAUT1bL7fV9VBp3A6F8FQ,GEMAPLYS,BR,4.12%
UCYulscWJwKgs35FTF9FaNlw,Дмитрий Машков,RU,4.10%
UCerK03vbFNIDc8ABS87gHzw,ЛЕСНЫЕ,US,4.10%
